State,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Alabama,3.9,4.6,5.9,6.0,6.5,6.6,7.7,9.4,10.0,9.8
Alaska,5.9,6.5,6.6,6.5,6.5,6.3,7.2,7.5,8.1,8.4
Arizona,4.8,4.9,5.5,6.1,7.0,8.0,8.3,9.2,9.5,8.5
Arkansas,3.7,3.7,4.0,5.4,6.4,7.3,7.3,8.0,7.7,7.0
California,4.3,4.8,5.5,6.2,7.6,8.9,10.5,11.8,12.4,11.6
Colorado,3.0,2.6,3.1,4.1,5.3,6.9,7.9,8.6,8.1,7.3
Connecticut,3.9,4.4,4.8,5.7,6.7,7.9,8.3,8.9,9.0,8.0
Delaware,3.7,4.4,4.5,4.8,6.1,7.1,6.8,8.1,8.7,8.1
District of Columbia,5.7,6.1,6.2,7.1,7.5,8.6,9.1,10.3,10.5,10.8
Florida,3.6,4.2,4.9,5.4,6.1,7.1,8.7,10.7,11.9,10.4
Georgia,4.0,4.8,5.4,6.0,7.4,8.3,9.0,10.1,10.2,9.8
Hawaii,2.4,2.2,2.9,3.7,4.3,4.7,6.0,6.3,6.6,7.0
Idaho,2.8,3.2,3.7,4.0,4.7,6.3,7.5,9.2,9.2,8.1
Illinois,4.4,5.0,5.9,5.8,7.3,9.1,8.9,9.4,10.5,9.9
Indiana,3.4,3.5,4.4,5.0,5.9,8.1,8.2,8.7,9.9,9.9
Iowa,2.6,3.1,3.6,3.8,4.4,4.7,5.2,6.0,6.7,6.0
Kansas,3.3,3.6,4.0,4.3,4.7,5.6,6.0,6.6,6.6,6.6
Kentucky,4.2,4.8,5.0,5.1,7.1,8.2,8.4,9.8,10.3,10.4
Louisiana,4.8,5.1,6.1,6.4,5.4,6.5,6.9,7.5,7.4,6.7
Maine,3.1,3.4,3.8,4.6,5.8,6.9,7.3,7.5,7.9,8.2
Maryland,3.8,4.1,4.3,5.3,5.8,6.7,6.7,7.0,7.4,7.1
Massachusetts,3.4,3.8,4.0,4.7,6.0,6.9,6.5,7.6,8.9,8.5
Michigan,4.2,4.6,5.0,5.4,7.3,8.7,8.9,10.4,13.3,14.0
Minnesota,3.0,3.4,3.9,3.8,4.4,5.1,5.7,6.6,7.1,7.9
Mississippi,5.0,5.2,5.9,6.5,7.6,8.8,9.0,10.4,10.7,9.4
Missouri,3.2,3.8,4.5,5.4,6.2,6.7,7.1,8.8,9.4,9.0
Montana,3.8,4.1,4.3,4.1,4.7,5.4,6.2,7.4,7.2,6.3
Nebraska,2.9,2.9,3.1,2.8,3.5,3.9,3.9,4.2,4.7,4.7
Nevada,4.4,5.0,5.8,6.8,7.7,9.4,11.7,13.1,14.0,11.8
New Hampshire,2.6,2.8,2.9,3.6,4.5,5.3,5.4,5.2,6.1,6.5
New Jersey,4.0,4.5,4.9,5.9,6.7,8.6,9.4,9.3,9.6,9.0
New Mexico,4.9,6.1,6.7,6.4,6.6,6.7,6.7,7.2,8.5,6.8
New York,4.1,4.6,4.9,5.4,6.5,7.7,8.6,8.0,8.4,8.4
North Carolina,4.0,4.5,5.1,5.6,6.3,8.6,9.5,10.0,10.2,10.8
North Dakota,2.5,2.7,3.1,2.9,2.7,3.0,3.1,3.4,3.8,4.2
Ohio,4.5,5.0,5.0,4.9,5.7,7.2,7.2,8.9,10.4,10.3
Oklahoma,3.3,4.0,4.6,4.2,4.7,5.2,5.2,5.9,6.8,6.3
Oregon,4.0,4.1,4.7,5.7,6.9,7.9,8.6,9.6,10.6,11.5
Pennsylvania,4.4,5.0,5.3,5.2,5.7,7.6,7.8,7.9,9.0,8.2
Rhode Island,4.1,4.5,5.2,5.8,8.0,9.1,10.8,10.8,12.0,12.0
South Carolina,3.4,4.2,4.9,6.2,6.0,7.9,9.0,10.3,11.3,11.7
South Dakota,2.9,3.1,3.0,3.5,3.6,4.0,4.4,4.7,4.6,4.8
Tennessee,3.5,3.7,4.7,5.9,6.9,8.2,8.0,9.5,10.0,10.2
Texas,3.9,4.3,4.6,4.3,5.2,6.3,6.9,8.2,8.2,7.5
Utah,2.9,3.1,3.3,3.5,3.7,4.7,5.7,7.2,7.3,5.7
Vermont,2.6,3.0,3.1,3.7,3.9,4.4,5.0,5.5,6.1,6.9
Virginia,2.9,3.7,4.0,4.6,5.1,5.5,5.7,6.3,7.0,6.7
Washington,4.4,4.6,5.2,5.6,6.0,7.0,8.2,9.1,9.2,9.1
West Virginia,5.2,5.2,6.1,6.9,6.2,6.5,7.2,8.5,9.1,8.0
Wisconsin,3.0,3.3,3.9,4.5,5.7,6.8,7.0,7.5,8.1,8.4
Wyoming,4.0,4.3,5.4,4.1,4.3,4.7,5.3,5.9,6.9,5.8